id,text,author,name,followers,createdAt,likes,retweets,replies,views,lang,url
2103677438526124241,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Kao đi tấu hề chứ văn chương thua rồi 288 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Sat Sep 26 02:46:00 +0000 2026,0,0,0,32,vi,https://x.com/raumeocuamiu/status/2103677438526124241
2103676447143735431,"@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Vẫn còn màu xanh,chưa đỏ chưa cam 941 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3",Ahnnmon,Ahn Mon:),485,Sat Sep 26 02:42:04 +0000 2026,0,0,0,13,vi,https://x.com/Ahnnmon/status/2103676447143735431
2103672800888377610,Bánh mì 449 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Sat Sep 26 02:27:34 +0000 2026,0,0,0,24,vi,https://x.com/SunsetLM/status/2103672800888377610
2103672761982074978,Dậy dậy trend nha 433 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Sat Sep 26 02:27:25 +0000 2026,0,0,0,18,vi,https://x.com/SunsetLM/status/2103672761982074978
2103671031303168311,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Dức quà tiếp thôi 877 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Sat Sep 26 02:20:32 +0000 2026,0,0,0,21,vi,https://x.com/raumeocuamiu/status/2103671031303168311
2103549339222397095,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Pan xinh đẹp mê Peem nhất trên đời 278 LENAMIU PLS LOVE EP3 #PIsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 18:16:59 +0000 2026,0,0,0,18,vi,https://x.com/raumeocuamiu/status/2103549339222397095
2103542941969174934,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Ko sợ đỏ cam chỉ sợ bay acc 627 LENAMIU PLS LOVE EP3 #PIsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 17:51:33 +0000 2026,0,0,0,17,vi,https://x.com/raumeocuamiu/status/2103542941969174934
2103524006817329414,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Pan yêu Peemmm nhiều lắm ó 949 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 16:36:19 +0000 2026,0,0,0,32,vi,https://x.com/raumeocuamiu/status/2103524006817329414
2103523398966276575,Vn top 1 đấy ạ 1967 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Fri Sep 25 16:33:54 +0000 2026,0,0,0,25,vi,https://x.com/SunsetLM/status/2103523398966276575
2103522993439973824,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Bàn tay vàng trong làng GA là tui chứ ai 38 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 16:32:17 +0000 2026,0,0,0,28,vi,https://x.com/raumeocuamiu/status/2103522993439973824
