id,userName,name,followers,following,tweets,verified,createdAt,location,url
2050910828589948929,JoieDeVivre805,ᵖˡˢ Joie De Vivre 🦋🧸,24,266,31535,false,2026-05-03T12:11:39.000000Z,,https://x.com/JoieDeVivre805
1255161430262702080,kriisle22,ᵖˡˢ 𝗞𝗿𝗶𝗶𝘀𝗹𝗲 𓆞𓆟,157,237,1582,false,2020-04-28T15:46:36.000000Z,,https://x.com/kriisle22
1621402781700751361,CookieeeJ,ᵖˡˢ Natsha H,215,474,5026,false,2023-02-03T06:59:04.000000Z,,https://x.com/CookieeeJ
1869377810394906624,xudzuimo,ICEM,101,162,3350,false,2024-12-18T13:43:18.000000Z,,https://x.com/xudzuimo
1663248242317074433,daisy_2511,Daisy,1434,2736,9693,false,2023-05-29T18:17:53.000000Z,,https://x.com/daisy_2511
1647981452854951936,minninn222,matcha_latte,57,31,2372,false,2023-04-17T15:13:08.000000Z,"Hồ Chí Minh, Việt Nam",https://x.com/minninn222
1256199178209775617,dangtthuynhi,ᵖˡˢ Celia🦋🧸,205,423,7143,false,2020-05-01T12:30:06.000000Z,,https://x.com/dangtthuynhi
1575029003378823169,LinhLe00589721,ᵖˡˢ Linh lê,29,431,12372,false,2022-09-28T07:46:11.000000Z,,https://x.com/LinhLe00589721
1987470590379499520,loveyouharibo,ᵖˡˢloveyouharibo,71,112,17637,false,2025-11-09T10:42:53.000000Z,,https://x.com/loveyouharibo
1880579904104009728,DDdienKH,D2 ☕️🦦,134,192,3142,false,2025-01-18T11:37:06.000000Z,Việt Nam,https://x.com/DDdienKH
